"intervention","intervention_label","theme","theme_label","policy","policy_label","n"
"1","Generic productive investment in small and medium–sized enterprises (‘SMEs’)","TO03","Competitiveness of SMEs","PO01","Smarter Europe",7700
"2","Research and innovation processes in large enterprises","TO01","Research and innovation","PO01","Smarter Europe",20
"3","Productive investment in large enterprises linked to the low-carbon economy","TO04","Low-carbon economy","PO02","Greener, carbon-free Europe",2
"4","Productive investment linked to the cooperation between large enterprises and SMEs for developing information and communication technology (‘ICT’) products and services, e-commerce and enhancing demand for ICT","TO01","Research and innovation","PO01","Smarter Europe",2
"7","Natural gas","TO07","Network infrastructure in transport and energy","PO03","Connected Europe",2
"9","Renewable energy: wind","TO04","Low-carbon economy","PO02","Greener, carbon-free Europe",1
"10","Renewable energy: solar","TO04","Low-carbon economy","PO02","Greener, carbon-free Europe",21
"11","Renewable energy: biomass","TO04","Low-carbon economy","PO02","Greener, carbon-free Europe",57
"12","Other renewable energy (including hydroelectric, geothermal and marine energy) and renewable energy integration (including storage, power to gas and renewable hydrogen infrastructure)","TO04","Low-carbon economy","PO02","Greener, carbon-free Europe",224
"13","Energy efficiency renovation of public infrastructure, demonstration projects and supporting measures","TO04","Low-carbon economy","PO02","Greener, carbon-free Europe",1752
"15","Intelligent Energy Distribution Systems at medium and low voltage levels (including smart grids and ICT systems)","TO04","Low-carbon economy","PO02","Greener, carbon-free Europe",54
"16","High efficiency co-generation and district heating","TO04","Low-carbon economy","PO02","Greener, carbon-free Europe",86
"23","Environmental measures aimed at reducing and / or avoiding greenhouse gas emissions (including treatment and storage of methane gas and composting)","TO04","Low-carbon economy","PO02","Greener, carbon-free Europe",156
"34","Other reconstructed or improved road (motorway, national, regional or local)","TO07","Network infrastructure in transport and energy","PO03","Connected Europe",9
"35","Multimodal transport (TEN-T)","TO07","Network infrastructure in transport and energy","PO03","Connected Europe",1
"36","Multimodal transport","TO07","Network infrastructure in transport and energy","PO03","Connected Europe",15
"40","Other seaports","TO07","Network infrastructure in transport and energy","PO03","Connected Europe",1
"43","Clean urban transport infrastructure and promotion (including equipment and rolling stock)","TO04","Low-carbon economy","PO02","Greener, carbon-free Europe",204
"44","Intelligent transport systems (including the introduction of demand management, tolling systems, IT monitoring, control and information systems)","TO07","Network infrastructure in transport and energy","PO03","Connected Europe",30
"46","ICT: High-speed broadband network (access/local loop; >/= 30 Mbps)","TO02","Information and communication technology","PO01","Smarter Europe",9
"50","Education infrastructure for vocational education and training and adult learning","TO10","Educational and vocational training","PO04","Social Europe",200
"51","Education infrastructure for school education (primary and general secondary education)","TO10","Educational and vocational training","PO04","Social Europe",90
"52","Infrastructure for early childhood education and care","TO09","Social inclusion","PO04","Social Europe",54
"53","Health infrastructure","TO09","Social inclusion","PO04","Social Europe",55
"55","Other social infrastructure contributing to regional and local development","TO09","Social inclusion","PO04","Social Europe",612
"56","Investment in infrastructure, capacities and equipment in SMEs directly linked to research and innovation activities","TO01","Research and innovation","PO01","Smarter Europe",1092
